Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
MUMBAI INDIANS,RAJASTHAN ROYALS,"May 14, Wed",2008,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Mumbai Indians won by 7 wickets (with 29 balls remaining)
DELHI CAPITALS,CHENNAI SUPER KINGS,"May 15, Thu",2008,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Chennai Super Kings won by 4 wickets (with 0 balls remaining)
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,"May 16, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 5 runs
RAJASTHAN ROYALS,DECCAN CHARGERS,"May 17, Sat",2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 8 wickets (with 24 balls remaining)
CHENNAI SUPER KINGS,PUNJAB KINGS,"May 18, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 18 runs
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,"May 19, Mon",2008,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Kolkata Knight Riders won by 23 runs
RAJASTHAN ROYALS,DELHI CAPITALS,"May 20, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 3 wickets (with 5 balls remaining)
PUNJAB KINGS,ROYAL CHALLENGERS BENGALURU,"May 21, Wed",2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 9 wickets (with 26 balls remaining)
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,"May 22, Thu",2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 23 runs
MUMBAI INDIANS,CHENNAI SUPER KINGS,"May 23, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 9 wickets (with 37 balls remaining)
DELHI CAPITALS,DECCAN CHARGERS,"May 24, Sat",2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 12 runs
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,"May 25, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 8 wickets (with 87 balls remaining)
RAJASTHAN ROYALS,ROYAL CHALLENGERS BENGALURU,"May 26, Mon",2008,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 65 runs
DELHI CAPITALS,PUNJAB KINGS,"May 27, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Kings XI Punjab won by 6 runs (D/L method)
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,"May 28, Wed",2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Chennai Super Kings won by 3 runs (D/L method)
DECCAN CHARGERS,MUMBAI INDIANS,"May 30, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Mumbai Indians won by 25 runs
ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,"May 31, Sat",2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Delhi Daredevils won by 5 wickets (with 10 balls remaining)
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,"Jun 01, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Rajasthan Royals won by 6 wickets (with 21 balls remaining)
MUMBAI INDIANS,PUNJAB KINGS,"Mar 12, Fri",2010,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Kings XI Punjab won by 1 run
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BENGALURU,"Mar 13, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Royal Challengers Bangalore won by 14 runs
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,"Mar 14, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Match abandoned without a ball bowled
PUNJAB KINGS,DECCAN CHARGERS,"Mar 15, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 6 wickets (with 3 balls remaining)
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,"Mar 16, Tue",2010,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Rajasthan Royals won by 10 runs
DELHI CAPITALS,MUMBAI INDIANS,"Mar 17, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 5 wickets (with 1 ball remaining)
