Team1,Team2,Time,Place,Result,winning_team,win_margin,win_type,winning_team,win_margin,win_type
DCG,KKR,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders won by 23 runs,KKR,23.0,runs,KKR,23.0,runs
RR,DC,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 3 wickets (with 5 balls remaining),RR,3.0,wickets,RR,3.0,wickets
PBKS,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 9 wickets (with 26 balls remaining),PBKS,9.0,wickets,KXIP,9.0,wickets
KKR,DC,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 23 runs,KKR,23.0,runs,KKR,23.0,runs
MI,CSK,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians won by 9 wickets (with 37 balls remaining),MI,9.0,wickets,MI,9.0,wickets
DC,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 12 runs,DC,12.0,runs,DD,12.0,runs
MI,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians won by 8 wickets (with 87 balls remaining),MI,8.0,wickets,MI,8.0,wickets
RR,RCB,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 65 runs,RR,65.0,runs,RR,65.0,runs
DC,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kings XI Punjab won by 6 runs (D/L method),PBKS,6.0,runs,KXIP,6.0,runs
KKR,CSK,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings won by 3 runs (D/L method),CSK,3.0,runs,CSK,3.0,runs
DCG,MI,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians won by 25 runs,MI,25.0,runs,MI,25.0,runs
RCB,DC,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils won by 5 wickets (with 10 balls remaining),DC,5.0,wickets,DD,5.0,wickets
KKR,RR,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals won by 6 wickets (with 21 balls remaining),RR,6.0,wickets,RR,6.0,wickets
MI,PBKS,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Kings XI Punjab won by 1 run,nan,,,None,,
CSK,RCB,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore won by 14 runs,RCB,14.0,runs,RCB,14.0,runs
DC,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Match abandoned without a ball bowled,nan,,,None,,
PBKS,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 6 wickets (with 3 balls remaining),PBKS,6.0,wickets,KXIP,6.0,wickets
CSK,RR,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Rajasthan Royals won by 10 runs,RR,10.0,runs,RR,10.0,runs
DC,MI,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 5 wickets (with 1 ball remaining),DC,5.0,wickets,DD,5.0,wickets
DCG,RCB,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore won by 5 wickets (with 6 balls remaining),RCB,5.0,wickets,RCB,5.0,wickets
KKR,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 3 wickets (with 2 balls remaining),KKR,3.0,wickets,KKR,3.0,wickets
RR,MI,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 5 wickets (with 0 balls remaining),RR,5.0,wickets,RR,5.0,wickets
DCG,CSK,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings won by 7 wickets (with 4 balls remaining),CSK,7.0,wickets,CSK,7.0,wickets
RCB,MI,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians won by 9 wickets (with 12 balls remaining),MI,9.0,wickets,MI,9.0,wickets
PBKS,RR,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 41 runs,PBKS,41.0,runs,KXIP,41.0,runs
DC,RR,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Rajasthan Royals won by 105 runs,RR,105.0,runs,RR,105.0,runs
CSK,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings won by 9 wickets (with 31 balls remaining),CSK,9.0,wickets,CSK,9.0,wickets
CSK,RR,02:45 PM GMT / 08:15 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Rajasthan Royals won by 3 wickets (with 0 balls remaining),RR,3.0,wickets,RR,3.0,wickets
DCG,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Kolkata Knight Riders won by 11 runs,KKR,11.0,runs,KKR,11.0,runs
MI,RR,09:30 AM GMT / 03:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians won by 4 runs,MI,4.0,runs,MI,4.0,runs
PBKS,DC,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils won by 5 wickets (with 1 ball remaining),DC,5.0,wickets,DD,5.0,wickets
KKR,RCB,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 7 wickets (with 4 balls remaining),KKR,7.0,wickets,KKR,7.0,wickets
CSK,DCG,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Deccan Chargers won by 31 runs,DCG,31.0,runs,DCG,31.0,runs
RR,DC,02:30 PM GMT / 08:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Delhi Daredevils won by 6 wickets (with 17 balls remaining),DC,6.0,wickets,DD,6.0,wickets
RCB,PBKS,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore won by 8 wickets (with 7 balls remaining),RCB,8.0,wickets,RCB,8.0,wickets
KKR,CSK,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings won by 55 runs,CSK,55.0,runs,CSK,55.0,runs
DC,MI,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Mumbai Indians won by 98 runs,MI,98.0,runs,MI,98.0,runs
RCB,RR,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore won by 10 wickets (with 56 balls remaining),RCB,10.0,wickets,RCB,10.0,wickets
DC,CSK,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Chennai Super Kings won by 5 wickets (with 5 balls remaining),CSK,5.0,wickets,CSK,5.0,wickets
DCG,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Deccan Chargers won by 6 runs,DCG,6.0,runs,DCG,6.0,runs
RR,KKR,10:30 AM GMT / 04:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals won by 34 runs,RR,34.0,runs,RR,34.0,runs
MI,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore won by 7 wickets (with 5 balls remaining),RCB,7.0,wickets,RCB,7.0,wickets
DCG,DC,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",Deccan Chargers won by 10 runs,DCG,10.0,runs,DCG,10.0,runs
CSK,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Match tied (Kings XI Punjab won the one-over eliminator),nan,,,None,,
MI,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians won by 7 wickets (with 9 balls remaining),MI,7.0,wickets,MI,7.0,wickets
RCB,CSK,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore won by 36 runs,RCB,36.0,runs,RCB,36.0,runs
